# lambda T_z_2p5 T_z_3p5 T_z_3p8 T_z_4p3 T_z_4p8 T_z_5p3 T_z_5p8 T_z_6p5 T_z_1 T_z_1p5 T_z_2
1213.050000 0.800127 0.535417 0.442918 0.291961 0.169427 0.083581 0.000000 0.000245 0.980557 0.944660 0.887981
1213.120000 0.800127 0.534757 0.443964 0.293049 0.169427 0.082693 0.000000 0.000245 0.980557 0.944660 0.887981
1213.190000 0.800127 0.534757 0.444549 0.294136 0.170039 0.081954 0.000000 0.000245 0.980557 0.944660 0.887981
1213.260000 0.800127 0.536078 0.445218 0.293592 0.171262 0.083581 0.000000 0.000245 0.980557 0.944660 0.887981
1213.330000 0.800127 0.536078 0.446347 0.293049 0.171262 0.083581 0.000000 0.000245 0.980557 0.944660 0.887981
1213.400000 0.800127 0.538058 0.447309 0.293592 0.171874 0.081954 0.000000 0.000245 0.980557 0.944660 0.887981
1213.470000 0.800127 0.538718 0.447309 0.294136 0.171874 0.081954 0.000000 0.000245 0.980557 0.944660 0.887981
1213.540000 0.800127 0.538718 0.448146 0.294136 0.171874 0.081954 0.000000 0.000245 0.980557 0.944660 0.887981
1213.610000 0.800127 0.538718 0.448229 0.294136 0.171874 0.081954 0.000000 0.000245 0.980557 0.944660 0.887981
1213.680000 0.800127 0.538718 0.448104 0.294136 0.171874 0.080326 0.000000 0.000245 0.980557 0.944660 0.887981
1213.750000 0.800127 0.538718 0.448229 0.294136 0.171874 0.078402 0.000000 0.000245 0.980557 0.944660 0.887981
1213.820000 0.800127 0.538718 0.448187 0.295223 0.171874 0.077070 0.000000 0.000245 0.980557 0.944660 0.887981
1213.890000 0.800127 0.538718 0.447351 0.294680 0.170650 0.076034 0.000000 0.000245 0.980557 0.944660 0.887981
1213.960000 0.800127 0.538718 0.448229 0.293049 0.170650 0.076922 0.000000 0.000245 0.980557 0.944660 0.887981
1214.030000 0.800127 0.538718 0.447184 0.291417 0.170650 0.076774 0.000000 0.000245 0.980557 0.944660 0.887981
1214.100000 0.800127 0.537398 0.445678 0.290330 0.170650 0.075590 0.000000 0.000245 0.980557 0.944660 0.887981
1214.170000 0.800127 0.537398 0.444214 0.289243 0.170650 0.075146 0.000000 0.000245 0.980557 0.944660 0.887981
1214.240000 0.800127 0.536738 0.443169 0.288699 0.170650 0.074554 0.000000 0.000245 0.980557 0.944660 0.887981
1214.310000 0.799305 0.536738 0.441287 0.288155 0.170039 0.073815 0.000000 0.000245 0.979550 0.943689 0.887068
1214.380000 0.798483 0.534097 0.439698 0.287612 0.170039 0.073075 0.000000 0.000245 0.978542 0.942718 0.886155
1214.450000 0.798483 0.530796 0.437189 0.287068 0.170650 0.070411 0.000000 0.000245 0.978542 0.942718 0.886155
1214.520000 0.796838 0.526835 0.434596 0.284893 0.168816 0.067599 0.000000 0.000245 0.976526 0.940777 0.884330
1214.590000 0.795193 0.526835 0.431835 0.281631 0.168816 0.064936 0.000000 0.000245 0.974511 0.938835 0.882505
1214.660000 0.793549 0.522874 0.428490 0.278913 0.165757 0.062124 0.000000 0.000245 0.972495 0.936893 0.880680
1214.730000 0.791904 0.518913 0.424308 0.273476 0.157194 0.056797 0.000000 0.000245 0.970480 0.934951 0.878854
1214.800000 0.788615 0.514951 0.418996 0.268039 0.157194 0.052505 0.000000 0.000245 0.966449 0.931068 0.875204
1214.870000 0.785325 0.509670 0.410883 0.261515 0.149243 0.048214 0.000000 0.000245 0.962417 0.927184 0.871553
1214.940000 0.780391 0.493165 0.400961 0.254990 0.140068 0.042146 0.000000 0.000245 0.956371 0.921359 0.866078
1215.010000 0.774635 0.483922 0.381065 0.235417 0.126612 0.033563 0.000971 0.000245 0.949317 0.914563 0.859689
1215.080000 0.768879 0.462796 0.358063 0.215845 0.109485 0.024093 0.000971 0.000245 0.942262 0.907767 0.853301
1215.150000 0.752432 0.428466 0.322641 0.184311 0.071563 0.014326 0.000971 0.000245 0.922107 0.888350 0.835049
1215.220000 0.734341 0.374330 0.273993 0.136466 0.047709 0.006483 0.000971 0.000245 0.899936 0.866990 0.814971
1215.290000 0.699803 0.303029 0.206138 0.081010 0.023854 0.003819 0.002913 0.000245 0.857610 0.826214 0.776641
1215.360000 0.647996 0.217204 0.124368 0.036427 0.007951 0.002233 0.002914 0.000245 0.794120 0.765049 0.719146
1215.430000 0.594545 0.161748 0.067416 0.010874 0.000612 0.004115 0.000000 0.000245 0.728616 0.701942 0.659825
1215.500000 0.568230 0.134019 0.045451 0.003262 0.000612 0.000000 0.000000 0.000245 0.696367 0.670874 0.630621
1215.570000 0.589611 0.160427 0.050303 0.002718 0.000612 0.000000 0.000000 0.000245 0.722569 0.696117 0.654350
1215.640000 0.770874 0.268699 0.130463 0.015767 0.000612 0.000000 0.000000 0.000116 0.800167 0.770874 0.724621
1215.710000 0.903883 0.690291 0.463579 0.199029 0.005505 0.006261 0.002134 0.000000 0.938231 0.903883 0.903883
1215.780000 0.985437 0.923301 0.855340 0.647573 0.158252 0.006261 0.000971 0.000245 0.985437 0.985437 0.985437
1215.850000 0.997087 0.986408 0.967961 0.925243 0.655340 0.206796 0.012621 0.000245 0.997087 0.997087 0.997087
1215.920000 1.000971 1.000971 0.997087 0.994175 0.933010 0.682524 0.225306 0.001467 1.000971 1.000971 1.000971
1215.990000 1.001942 1.000971 1.000000 0.999029 0.990291 0.911248 0.690291 0.079866 1.001942 1.001942 1.001942
1216.060000 1.002913 1.001942 1.001942 0.999029 0.997087 0.967135 0.889874 0.381009 1.002913 1.002913 1.002913
1216.130000 1.002913 1.001942 1.002405 1.000000 1.000000 0.989320 0.945549 0.643722 1.002913 1.002913 1.002913
1216.200000 1.002913 1.001942 1.002405 1.000000 1.000000 0.995559 0.960194 0.788313 1.002913 1.002913 1.002913
1216.270000 1.002913 1.001942 1.002405 1.000000 1.000000 0.997543 0.974031 0.851656 1.002913 1.002913 1.002913
1216.340000 1.002913 1.002913 1.002405 1.000000 1.000971 0.997087 0.981494 0.900692 1.002913 1.002913 1.002913
1216.410000 1.002913 1.002913 1.002405 1.000000 1.000971 0.999029 0.991614 0.916980 1.002913 1.002913 1.002913
1216.480000 1.002913 1.002913 1.002405 1.000000 1.001942 0.999029 0.995210 0.930665 1.002913 1.002913 1.002913
1216.550000 1.002913 1.002913 1.002405 1.000971 1.001942 0.999029 0.995765 0.941024 1.002913 1.002913 1.002913
1216.620000 1.002913 1.002913 1.002405 1.000971 1.001942 0.999029 0.996395 0.948809 1.002913 1.002913 1.002913
1216.690000 1.002913 1.002913 1.002913 1.001942 1.001942 0.999029 0.996794 0.954343 1.002913 1.002913 1.002913
1216.760000 1.002913 1.002913 1.002913 1.001942 1.001942 0.999029 0.997206 0.958718 1.002913 1.002913 1.002913
1216.830000 1.002913 1.002913 1.002913 1.001942 1.001942 0.999029 0.997463 0.961999 1.002913 1.002913 1.002913
1216.900000 1.002913 1.002913 1.002913 1.001942 1.001942 0.999029 0.997450 0.964701 1.002913 1.002913 1.002913
1216.970000 1.002913 1.002913 1.002913 1.001942 1.001942 0.999029 0.998029 0.966824 1.002913 1.002913 1.002913
1217.040000 1.002913 1.002913 1.002913 1.001942 1.001942 0.999029 0.998158 0.968690 1.002913 1.002913 1.002913
1217.110000 1.002913 1.002913 1.002913 1.001942 1.001942 0.999029 0.998158 0.970363 1.002913 1.002913 1.002913
1217.180000 1.002913 1.002913 1.002913 1.001942 1.001942 0.999029 0.998158 0.971714 1.002913 1.002913 1.002913
1217.250000 1.002913 1.002913 1.002913 1.001942 1.001942 0.999029 0.998158 0.973065 1.002913 1.002913 1.002913
1217.320000 1.002913 1.002913 1.002913 1.001942 1.001942 0.999029 0.998158 0.973902 1.002913 1.002913 1.002913
1217.390000 1.002913 1.002913 1.002913 1.001942 1.001942 0.999029 0.998415 0.974867 1.002913 1.002913 1.002913
1217.460000 1.002913 1.002913 1.002913 1.001942 1.001942 1.000971 0.998866 0.975768 1.002913 1.002913 1.002913
1217.530000 1.002913 1.002913 1.002913 1.001942 1.001942 1.000971 0.998866 0.976347 1.002913 1.002913 1.002913
1217.600000 1.002913 1.002913 1.002913 1.001942 1.001942 1.000971 0.998866 0.977119 1.002913 1.002913 1.002913
1217.670000 1.002913 1.002913 1.002913 1.001942 1.001942 1.000971 0.998866 0.978341 1.002913 1.002913 1.002913
1217.740000 1.002913 1.002913 1.002913 1.001942 1.001942 1.000971 0.998866 0.978920 1.002913 1.002913 1.002913
1217.810000 1.002913 1.002913 1.002913 1.001942 1.001942 1.000971 0.998866 0.979113 1.002913 1.002913 1.002913
1217.880000 1.002913 1.002913 1.002913 1.001942 1.001942 1.000971 0.998866 0.979757 1.002913 1.002913 1.002913
1217.950000 1.002913 1.002913 1.002913 1.001942 1.001942 1.000971 0.999445 0.980336 1.002913 1.002913 1.002913
1218.020000 1.002913 1.002913 1.002913 1.001942 1.001942 1.000971 0.999574 0.980465 1.002913 1.002913 1.002913
1218.090000 1.002913 1.002913 1.002913 1.002913 1.001942 1.000971 0.999574 0.981172 1.002913 1.002913 1.002913
1218.160000 1.002913 1.002913 1.002913 1.002913 1.001942 1.000971 0.999574 0.981301 1.002913 1.002913 1.002913
1218.230000 1.002913 1.002913 1.002913 1.002913 1.001942 1.000971 0.999691 0.982942 1.002913 1.002913 1.002913
